Date,Open,High,Low,Close,Adj Close,Volume
2011-03-26,92.099998,94.324997,90.599998,94.224998,94.224998,33765
2011-04-02,94.000000,94.425003,92.300003,93.150002,93.150002,23892
2011-04-09,93.150002,103.250000,92.849998,102.425003,102.425003,13260
2011-04-16,101.775002,103.425003,101.349998,102.050003,102.050003,1899
2011-04-23,101.574997,101.599998,94.474998,95.275002,95.275002,4704
2011-04-30,95.425003,96.099998,89.650002,93.349998,93.349998,6271
2011-05-07,92.625000,92.925003,91.650002,92.849998,92.849998,22162
2011-05-14,94.625000,95.050003,90.500000,91.974998,91.974998,86719
2011-05-21,91.500000,91.500000,86.925003,88.925003,88.925003,56021
2011-05-28,89.474998,91.099998,88.349998,89.224998,89.224998,28850
2011-06-04,89.224998,91.925003,88.525002,91.699997,91.699997,28223
2011-06-11,91.949997,96.175003,91.525002,95.650002,95.650002,49210
2011-06-18,96.199997,99.400002,95.550003,96.000000,96.000000,43831
2011-06-25,95.775002,96.025002,93.574997,95.500000,95.500000,33218
2011-07-02,95.400002,97.775002,94.775002,95.875000,95.875000,21906
2011-07-09,95.875000,96.925003,95.025002,95.150002,95.150002,27199
2011-07-16,99.525002,101.099998,96.550003,100.824997,100.824997,58633
2011-07-23,100.724998,102.824997,98.650002,102.775002,102.775002,45592
2011-07-30,102.875000,106.025002,102.400002,104.925003,104.925003,24659
2011-08-06,105.000000,107.474998,104.500000,107.449997,107.449997,32948
2011-08-13,89.650002,90.699997,86.150002,88.375000,88.375000,80929
2011-08-20,88.550003,89.349998,86.724998,87.099998,87.099998,73179
2011-08-27,87.425003,87.425003,84.449997,85.800003,85.800003,85396
2011-09-03,85.400002,87.650002,83.074997,87.250000,87.250000,92060
2011-09-10,86.900002,89.599998,86.300003,87.349998,87.349998,98335
2011-09-17,87.500000,89.824997,86.750000,88.800003,88.800003,69199
2011-09-24,88.974998,93.375000,87.650002,93.375000,93.375000,47569
2011-10-01,93.400002,94.900002,92.525002,94.675003,94.675003,27273
2011-10-08,94.224998,94.425003,91.650002,93.574997,93.574997,37373
2011-10-15,90.175003,91.474998,88.775002,89.650002,89.650002,86445
2011-10-22,89.525002,89.800003,86.500000,86.675003,86.675003,85825
2011-10-29,86.675003,88.900002,85.775002,86.849998,86.849998,82420
2011-11-05,86.900002,87.099998,84.775002,86.449997,86.449997,125581
2011-11-12,86.599998,87.650002,85.300003,87.474998,87.474998,76232
2011-11-19,87.474998,88.400002,87.125000,88.300003,88.300003,26534
2011-11-26,88.375000,88.699997,86.199997,86.250000,86.250000,31073
2011-12-03,86.349998,86.699997,84.800003,85.400002,85.400002,28808
2011-12-10,85.750000,86.449997,82.625000,83.150002,83.150002,53248
2011-12-17,83.199997,86.074997,83.150002,85.849998,85.849998,64567
2011-12-24,85.849998,86.525002,83.849998,84.300003,84.300003,48453
2011-12-31,84.724998,86.000000,83.650002,83.900002,83.900002,70758
2012-01-07,84.150002,85.824997,82.775002,85.599998,85.599998,130110
2012-01-14,85.800003,86.800003,85.074997,85.324997,85.324997,60543
2012-01-21,85.750000,87.349998,85.550003,86.675003,86.675003,64775
2012-01-28,86.275002,88.199997,85.724998,87.525002,87.525002,32917
2012-02-04,87.349998,87.400002,86.175003,86.849998,86.849998,22975
2012-02-11,87.025002,90.675003,86.900002,90.375000,90.375000,65486
2012-02-18,90.199997,90.974998,89.400002,89.724998,89.724998,64281
2012-02-25,89.724998,90.724998,87.699997,90.425003,90.425003,103358
2012-03-03,90.400002,90.425003,86.625000,87.824997,87.824997,141520
2012-03-10,87.775002,88.000000,85.824997,85.875000,85.875000,90137
2012-03-17,86.099998,86.324997,84.349998,85.025002,85.025002,55444
2012-03-24,84.949997,85.474998,82.800003,83.425003,83.425003,48276
2012-03-31,83.525002,84.849998,83.175003,84.500000,84.500000,22265
