time,open,high,low,close,tick_volume,spread,real_volume
2005-07-29,1.7556,1.7614999999999998,1.7515,1.7574,14400,40,0
2005-08-01,1.7556,1.7734,1.754,1.7667000000000002,12822,40,0
2005-08-02,1.7668,1.7755999999999998,1.7666,1.7713,13721,40,0
2005-08-03,1.7713999999999999,1.7833999999999999,1.7650000000000001,1.7774999999999999,12085,40,0
2005-08-04,1.7774,1.7829000000000002,1.7711999999999999,1.7807,12182,40,0
2005-08-05,1.7808000000000002,1.7828,1.7715,1.7784,13262,40,0
2005-08-08,1.7763,1.7905,1.7727,1.7844,12846,40,0
2005-08-09,1.7843,1.792,1.782,1.7873999999999999,12873,40,0
2005-08-10,1.7873999999999999,1.798,1.7863,1.7969,13410,40,0
2005-08-11,1.7970000000000002,1.8134000000000001,1.7948,1.8112,14245,40,0
2005-08-12,1.8111000000000002,1.818,1.8073000000000001,1.8148,13769,40,0
2005-08-15,1.8159999999999998,1.8167,1.8072,1.8111000000000002,12468,40,0
2005-08-16,1.8109,1.8148,1.8037999999999998,1.8102,14627,40,0
2005-08-17,1.81,1.8131,1.8016999999999999,1.8063,14486,40,0
2005-08-18,1.8062,1.8094000000000001,1.7913999999999999,1.7934999999999999,12606,40,0
2005-08-19,1.7934999999999999,1.798,1.7890000000000001,1.7951000000000001,11729,40,0
2005-08-22,1.7966,1.8051,1.7939,1.8009,11810,40,0
2005-08-23,1.8008,1.8024,1.7962,1.8006,11918,40,0
2005-08-24,1.8007,1.8032,1.7906,1.8004,12449,40,0
2005-08-25,1.8004,1.8086,1.7976999999999999,1.8026,12538,40,0
2005-08-26,1.8024,1.8101,1.7989000000000002,1.8014000000000001,12049,40,0
2005-08-29,1.8018,1.8090000000000002,1.7925,1.7953999999999999,12054,40,0
2005-08-30,1.7953000000000001,1.7969,1.7819,1.7856999999999998,12510,40,0
2005-08-31,1.7856999999999998,1.806,1.7819,1.8035,12546,40,0
2005-09-01,1.8035999999999999,1.8367,1.8004,1.8338,13162,40,0
2005-09-02,1.8335,1.8452,1.83,1.8437999999999999,13044,40,0
2005-09-05,1.8397999999999999,1.8502999999999998,1.8372000000000002,1.8437000000000001,12178,40,0
2005-09-06,1.8437999999999999,1.8471,1.8372000000000002,1.8418,13382,40,0
2005-09-07,1.8414000000000001,1.8465,1.8352,1.8361,13231,40,0
2005-09-08,1.8361,1.8445,1.833,1.8357,12258,40,0
2005-09-09,1.8357,1.8428,1.8319,1.8391,11443,40,0
2005-09-12,1.8414000000000001,1.8431,1.8183,1.8191000000000002,12800,40,0
2005-09-13,1.8193000000000001,1.8252000000000002,1.8183,1.8222,12351,40,0
2005-09-14,1.822,1.8306,1.821,1.8226,12078,40,0
2005-09-15,1.8232,1.8243,1.8037,1.806,12861,40,0
2005-09-16,1.8058999999999998,1.8151000000000002,1.8018999999999998,1.8077,10752,40,0
2005-09-19,1.8037999999999998,1.8068,1.7969,1.8021,11338,40,0
2005-09-20,1.802,1.8085,1.7976999999999999,1.799,11683,40,0
2005-09-21,1.7991000000000001,1.8131,1.7957999999999998,1.8114,11972,40,0
2005-09-22,1.8117999999999999,1.8151000000000002,1.7879,1.7901,12218,40,0
2005-09-23,1.7902,1.7932000000000001,1.7751000000000001,1.776,11336,40,0
2005-09-26,1.7723,1.7801,1.7704,1.7785,10995,40,0
2005-09-27,1.7785,1.7791000000000001,1.7639,1.7673999999999999,11898,40,0
2005-09-28,1.7673,1.772,1.7602,1.7682,11895,40,0
2005-09-29,1.7682,1.7706,1.7591999999999999,1.7610999999999999,11979,40,0
2005-09-30,1.7610999999999999,1.7734,1.7565,1.7682,12309,40,0
2005-10-03,1.7619,1.7639,1.7519,1.7549000000000001,12361,40,0
2005-10-04,1.7547000000000001,1.7625,1.7511999999999999,1.7589000000000001,12208,40,0
2005-10-05,1.7593999999999999,1.7675,1.7574999999999998,1.7667000000000002,12163,40,0
2005-10-06,1.7673,1.7816,1.7648000000000001,1.7792,13416,40,0
