Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2018-03-20,NEW ZEALAND DOLLAR ,31078,11452,-3611,-26053,19626,42530,44482
2018-03-27,NEW ZEALAND DOLLAR ,32749,14510,1671,3058,18239,47259,46728
2018-02-06,NEW ZEALAND DOLLAR ,29316,25984,-351,-213,3332,55300,55563
2018-02-13,NEW ZEALAND DOLLAR ,28648,26428,-668,444,2220,55076,53739
2018-02-20,NEW ZEALAND DOLLAR ,29422,28478,774,2050,944,57900,54483
2018-02-27,NEW ZEALAND DOLLAR ,32179,33170,2757,4692,-991,65349,58443
2018-01-02,NEW ZEALAND DOLLAR ,15509,32494,-2631,-3232,-16985,48003,45141
2018-01-09,NEW ZEALAND DOLLAR ,17304,28321,1795,-4173,-11017,45625,45519
2018-01-16,NEW ZEALAND DOLLAR ,17795,25786,491,-2535,-7991,43581,46780
2018-01-23,NEW ZEALAND DOLLAR ,24620,26086,6825,300,-1466,50706,53374
2018-01-30,NEW ZEALAND DOLLAR ,29667,26197,5047,111,3470,55864,55783
2017-12-05,NEW ZEALAND DOLLAR ,24228,37121,268,-861,-12893,61349,61386
2017-12-12,NEW ZEALAND DOLLAR ,23811,37239,-417,118,-13428,61050,74192
2017-12-19,NEW ZEALAND DOLLAR ,19456,36075,-4355,-1164,-16619,55531,48385
2017-12-26,NEW ZEALAND DOLLAR ,18140,35726,-1316,-349,-17586,53866,47219
2017-11-07,NEW ZEALAND DOLLAR ,18943,30130,-2820,2660,-11187,49073,52072
2017-11-14,NEW ZEALAND DOLLAR ,18146,30037,-797,-93,-11891,48183,53690
2017-11-21,NEW ZEALAND DOLLAR ,22489,35883,4343,5846,-13394,58372,59737
2017-11-28,NEW ZEALAND DOLLAR ,23960,37982,1471,2099,-14022,61942,61260
2017-10-03,NEW ZEALAND DOLLAR ,20928,12810,-1441,-1506,8118,33738,34175
2017-10-10,NEW ZEALAND DOLLAR ,21529,15800,601,2990,5729,37329,36460
2017-10-17,NEW ZEALAND DOLLAR ,20423,13446,-1106,-2354,6977,33869,33757
2017-10-24,NEW ZEALAND DOLLAR ,20549,19938,126,6492,611,40487,41185
2017-10-31,NEW ZEALAND DOLLAR ,21763,27470,1214,7532,-5707,49233,49610
2017-09-05,NEW ZEALAND DOLLAR ,26773,12050,-2229,1852,14723,38823,46094
2017-09-12,NEW ZEALAND DOLLAR ,25150,12800,-1623,750,12350,37950,49256
2017-09-19,NEW ZEALAND DOLLAR ,23248,16578,-1902,3778,6670,39826,37073
2017-09-26,NEW ZEALAND DOLLAR ,22369,14316,-879,-2262,8053,36685,35914
2017-08-01,NEW ZEALAND DOLLAR ,41531,6593,310,177,34938,48124,54968
2017-08-08,NEW ZEALAND DOLLAR ,40241,6756,-1290,163,33485,46997,53151
2017-08-15,NEW ZEALAND DOLLAR ,33509,8670,-6732,1914,24839,42179,48413
2017-08-22,NEW ZEALAND DOLLAR ,29590,7708,-3919,-962,21882,37298,44090
2017-08-29,NEW ZEALAND DOLLAR ,29002,10198,-588,2490,18804,39200,43732
2017-07-03,NEW ZEALAND DOLLAR ,44484,15351,-517,-4417,29133,59835,57560
2017-07-11,NEW ZEALAND DOLLAR ,45435,13530,951,-1821,31905,58965,58499
2017-07-18,NEW ZEALAND DOLLAR ,44257,8276,-1178,-5254,35981,52533,57496
2017-07-25,NEW ZEALAND DOLLAR ,41221,6416,-3036,-1860,34805,47637,54603
2017-06-06,NEW ZEALAND DOLLAR ,19348,21133,2462,-1292,-1785,40481,43814
2017-06-13,NEW ZEALAND DOLLAR ,27261,25666,7913,4533,1595,52927,53576
2017-06-20,NEW ZEALAND DOLLAR ,38388,16933,11127,-8733,21455,55321,50095
2017-06-27,NEW ZEALAND DOLLAR ,45001,19768,6613,2835,25233,64769,57424
2017-05-02,NEW ZEALAND DOLLAR ,19190,31160,497,-2937,-11970,50350,43368
2017-05-09,NEW ZEALAND DOLLAR ,12070,22856,-7120,-8304,-10786,34926,44057
2017-05-16,NEW ZEALAND DOLLAR ,11918,23872,-152,1016,-11954,35790,45187
2017-05-23,NEW ZEALAND DOLLAR ,14018,23235,2100,-637,-9217,37253,44165
2017-05-30,NEW ZEALAND DOLLAR ,16886,22425,2868,-810,-5539,39311,44203
2017-04-04,NEW ZEALAND DOLLAR ,17009,31733,793,2888,-14724,48742,40904
2017-04-11,NEW ZEALAND DOLLAR ,19008,34161,1999,2428,-15153,53169,43375
2017-04-18,NEW ZEALAND DOLLAR ,18320,33326,-688,-835,-15006,51646,43061
2017-04-25,NEW ZEALAND DOLLAR ,18693,34097,373,771,-15404,52790,43947
2017-03-07,NEW ZEALAND DOLLAR ,27207,31632,-9991,-2629,-4425,58839,51405
2017-03-14,NEW ZEALAND DOLLAR ,19509,25114,-7698,-6518,-5605,44623,34986
2017-03-21,NEW ZEALAND DOLLAR ,16599,29209,-2910,4095,-12610,45808,37898
2017-03-28,NEW ZEALAND DOLLAR ,16216,28845,-383,-364,-12629,45061,37949
2017-02-07,NEW ZEALAND DOLLAR ,34860,33015,2148,-719,1845,67875,54073
2017-02-14,NEW ZEALAND DOLLAR ,36565,33689,1705,674,2876,70254,56314
2017-02-21,NEW ZEALAND DOLLAR ,35252,32094,-1313,-1595,3158,67346,55082
2017-02-28,NEW ZEALAND DOLLAR ,37198,34261,1946,2167,2937,71459,57102
2017-01-03,NEW ZEALAND DOLLAR ,8565,6420,0,0,2145,14985,44227
2017-01-10,NEW ZEALAND DOLLAR ,22989,36949,-2533,14,-13960,59938,43936
2017-01-17,NEW ZEALAND DOLLAR ,25517,37805,2528,856,-12288,63322,45994
2017-01-24,NEW ZEALAND DOLLAR ,25851,35734,334,-2071,-9883,61585,44940
2017-01-31,NEW ZEALAND DOLLAR ,32712,33734,6861,-2000,-1022,66446,51587
2016-12-06,NEW ZEALAND DOLLAR ,27641,31593,-2590,-510,-3952,59234,48740
2016-12-13,NEW ZEALAND DOLLAR ,29402,33104,1761,1511,-3702,62506,54226
2016-12-20,NEW ZEALAND DOLLAR ,28313,35266,-1089,2162,-6953,63579,41806
2016-12-27,NEW ZEALAND DOLLAR ,25448,36449,-2865,1183,-11001,61897,43266
2016-11-01,NEW ZEALAND DOLLAR ,28557,29522,-947,-402,-965,58079,46788
2016-11-08,NEW ZEALAND DOLLAR ,36124,33619,7567,4097,2505,69743,52113
2016-11-15,NEW ZEALAND DOLLAR ,33547,31504,-2577,-2115,2043,65051,48563
2016-11-22,NEW ZEALAND DOLLAR ,31779,32312,-1768,808,-533,64091,50007
2016-11-29,NEW ZEALAND DOLLAR ,30231,32103,-1548,-209,-1872,62334,49885
2016-10-04,NEW ZEALAND DOLLAR ,32224,40054,-1935,-898,-7830,72278,49242
2016-10-11,NEW ZEALAND DOLLAR ,30962,38698,-1262,-1356,-7736,69660,47124
2016-10-18,NEW ZEALAND DOLLAR ,29513,29666,-1449,-9032,-153,59179,47413
2016-10-25,NEW ZEALAND DOLLAR ,29504,29924,-9,258,-420,59428,47257
2016-09-06,NEW ZEALAND DOLLAR ,37243,31115,5496,1261,6128,68358,51939
2016-09-13,NEW ZEALAND DOLLAR ,34900,29771,-2343,-1344,5129,64671,61941
2016-09-20,NEW ZEALAND DOLLAR ,34778,42694,-122,12923,-7916,77472,49526
2016-09-27,NEW ZEALAND DOLLAR ,34159,40952,-619,-1742,-6793,75111,49416
2016-08-02,NEW ZEALAND DOLLAR ,27049,26832,451,449,217,53881,40392
2016-08-09,NEW ZEALAND DOLLAR ,28314,28927,1265,2095,-613,57241,41475
2016-08-16,NEW ZEALAND DOLLAR ,28980,29675,666,748,-695,58655,43268
2016-08-23,NEW ZEALAND DOLLAR ,29926,30804,946,1129,-878,60730,44393
2016-08-30,NEW ZEALAND DOLLAR ,31747,29854,1821,-950,1893,61601,46496
2016-07-05,NEW ZEALAND DOLLAR ,30606,32009,808,-615,-1403,62615,44234
2016-07-12,NEW ZEALAND DOLLAR ,31694,30683,1088,-1326,1011,62377,44750
2016-07-19,NEW ZEALAND DOLLAR ,29156,26983,-2538,-3700,2173,56139,41199
2016-07-26,NEW ZEALAND DOLLAR ,26598,26383,-2558,-600,215,52981,39825
2016-06-07,NEW ZEALAND DOLLAR ,38562,30026,6643,3611,8536,68588,57750
2016-06-14,NEW ZEALAND DOLLAR ,29558,33376,-9004,3350,-3818,62934,41919
2016-06-21,NEW ZEALAND DOLLAR ,30013,33058,455,-318,-3045,63071,43562
2016-06-28,NEW ZEALAND DOLLAR ,29798,32624,-215,-434,-2826,62422,43462
2016-05-03,NEW ZEALAND DOLLAR ,25306,16106,847,-969,9200,41412,36578
2016-05-10,NEW ZEALAND DOLLAR ,33573,24221,8267,8115,9352,57794,45419
2016-05-17,NEW ZEALAND DOLLAR ,32545,25857,-1028,1636,6688,58402,43986
2016-05-24,NEW ZEALAND DOLLAR ,30414,25838,-2131,-19,4576,56252,42189
2016-05-31,NEW ZEALAND DOLLAR ,31919,26415,1505,577,5504,58334,44604
2016-04-05,NEW ZEALAND DOLLAR ,20152,17249,-103,-1132,2903,37401,28309
2016-04-12,NEW ZEALAND DOLLAR ,21472,17180,1320,-69,4292,38652,29575
2016-04-19,NEW ZEALAND DOLLAR ,22674,17323,1202,143,5351,39997,31313
2016-04-26,NEW ZEALAND DOLLAR ,24459,17075,1785,-248,7384,41534,33789
2016-03-01,NEW ZEALAND DOLLAR ,16593,20750,625,-1833,-4157,37343,31473
2016-03-08,NEW ZEALAND DOLLAR ,20419,22419,3826,1669,-2000,42838,34957
2016-03-15,NEW ZEALAND DOLLAR ,20524,19234,105,-3185,1290,39758,28451
2016-03-22,NEW ZEALAND DOLLAR ,19375,18358,-1149,-876,1017,37733,27163
2016-03-29,NEW ZEALAND DOLLAR ,20255,18381,880,23,1874,38636,28248
2016-02-02,NEW ZEALAND DOLLAR ,13492,21928,-1674,1362,-8436,35420,30979
2016-02-09,NEW ZEALAND DOLLAR ,13666,22805,174,877,-9139,36471,33544
2016-02-16,NEW ZEALAND DOLLAR ,14465,22782,799,-23,-8317,37247,33596
2016-02-23,NEW ZEALAND DOLLAR ,15968,22583,1503,-199,-6615,38551,32618
2016-01-05,NEW ZEALAND DOLLAR ,16842,15263,1871,146,1579,32105,24928
2016-01-12,NEW ZEALAND DOLLAR ,17149,15608,307,345,1541,32757,25434
2016-01-19,NEW ZEALAND DOLLAR ,14938,17892,-2211,2284,-2954,32830,28114
2016-01-26,NEW ZEALAND DOLLAR ,15166,20566,228,2674,-5400,35732,30437
2015-12-01,NEW ZEALAND DOLLAR ,22881,18124,278,-469,4757,41005,36623
2015-12-08,NEW ZEALAND DOLLAR ,24452,15571,1571,-2553,8881,40023,38425
2015-12-15,NEW ZEALAND DOLLAR ,16346,15227,-8106,-344,1119,31573,23626
2015-12-22,NEW ZEALAND DOLLAR ,14946,15167,-1400,-60,-221,30113,24057
2015-12-29,NEW ZEALAND DOLLAR ,14971,15117,25,-50,-146,30088,24587
2015-11-03,NEW ZEALAND DOLLAR ,21266,14648,927,-102,6618,35914,32539
2015-11-10,NEW ZEALAND DOLLAR ,21267,15703,1,1055,5564,36970,33719
2015-11-17,NEW ZEALAND DOLLAR ,22219,16971,952,1268,5248,39190,34899
2015-11-24,NEW ZEALAND DOLLAR ,22603,18593,384,1622,4010,41196,35099
2015-10-06,NEW ZEALAND DOLLAR ,18357,19328,-2638,-4729,-971,37685,31930
2015-10-13,NEW ZEALAND DOLLAR ,18344,17652,-13,-1676,692,35996,29038
2015-10-20,NEW ZEALAND DOLLAR ,19447,15688,1103,-1964,3759,35135,30142
2015-10-27,NEW ZEALAND DOLLAR ,20339,14750,892,-938,5589,35089,31743
2015-09-01,NEW ZEALAND DOLLAR ,13543,21822,-1845,371,-8279,35365,34339
2015-09-08,NEW ZEALAND DOLLAR ,11677,23497,-1866,1675,-11820,35174,38325
2015-09-15,NEW ZEALAND DOLLAR ,22462,24556,10785,1059,-2094,47018,33352
2015-09-22,NEW ZEALAND DOLLAR ,22990,26519,528,1963,-3529,49509,35920
2015-09-29,NEW ZEALAND DOLLAR ,20995,24057,-1995,-2462,-3062,45052,34105
2015-08-04,NEW ZEALAND DOLLAR ,14391,26290,841,-25,-11899,40681,38530
2015-08-11,NEW ZEALAND DOLLAR ,13931,24503,-460,-1787,-10572,38434,36861
2015-08-18,NEW ZEALAND DOLLAR ,14012,23969,81,-534,-9957,37981,36523
2015-08-25,NEW ZEALAND DOLLAR ,15388,21451,1376,-2518,-6063,36839,33400
2015-07-07,NEW ZEALAND DOLLAR ,14679,33027,-2270,12,-18348,47706,42873
2015-07-14,NEW ZEALAND DOLLAR ,13504,33158,-1175,131,-19654,46662,42311
2015-07-21,NEW ZEALAND DOLLAR ,13200,29154,-304,-4004,-15954,42354,38544
2015-07-28,NEW ZEALAND DOLLAR ,13550,26315,350,-2839,-12765,39865,37487
2015-06-02,NEW ZEALAND DOLLAR ,9432,19971,-994,4458,-10539,29403,33005
2015-06-09,NEW ZEALAND DOLLAR ,11097,22892,1665,2921,-11795,33989,36911
2015-06-16,NEW ZEALAND DOLLAR ,19382,28550,8285,5658,-9168,47932,37169
2015-06-23,NEW ZEALAND DOLLAR ,19661,33224,279,4674,-13563,52885,42911
2015-06-30,NEW ZEALAND DOLLAR ,16949,33015,-2712,-209,-16066,49964,43256
2015-05-05,NEW ZEALAND DOLLAR ,19585,10521,1304,2420,9064,30106,28379
2015-05-12,NEW ZEALAND DOLLAR ,14268,12498,-5317,1977,1770,26766,25525
