Date,Symbol,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest
2019-08-20 00:00:00,JAPANESE YEN ,49984,18830,-1780,-8192,31154,68814,154662
2019-08-27 00:00:00,JAPANESE YEN ,59795,26188,9811,7358,33607,85983,157862
2019-07-02 00:00:00,JAPANESE YEN ,34198,35425,3108,-5812,-1227,69623,139355
2019-07-09 00:00:00,JAPANESE YEN ,35346,38997,1148,3572,-3651,74343,135737
2019-07-16 00:00:00,JAPANESE YEN ,32905,44285,-2441,5288,-11380,77190,130304
2019-07-23 00:00:00,JAPANESE YEN ,34642,44019,1737,-266,-9377,78661,136245
2019-07-30 00:00:00,JAPANESE YEN ,37028,41246,2386,-2773,-4218,78274,138842
2019-06-04 00:00:00,JAPANESE YEN ,27437,71826,1634,-9554,-44389,99263,167810
2019-06-11 00:00:00,JAPANESE YEN ,20786,65951,-6651,-5875,-45165,86737,169387
2019-06-18 00:00:00,JAPANESE YEN ,28169,44734,7383,-21217,-16565,72903,123629
2019-06-25 00:00:00,JAPANESE YEN ,31090,41237,2921,-3497,-10147,72327,139439
2019-05-07 00:00:00,JAPANESE YEN ,25869,117586,5291,-2591,-91717,143455,201462
2019-05-14 00:00:00,JAPANESE YEN ,35915,97495,10046,-20091,-61580,133410,180573
2019-05-21 00:00:00,JAPANESE YEN ,27540,82732,-8375,-14763,-55192,110272,170834
2019-05-28 00:00:00,JAPANESE YEN ,25803,81380,-1737,-1352,-55577,107183,169790
2019-04-02 00:00:00,JAPANESE YEN ,20462,83203,2139,2759,-62741,103665,156838
2019-04-09 00:00:00,JAPANESE YEN ,19914,91434,-548,8231,-71520,111348,165736
2019-04-16 00:00:00,JAPANESE YEN ,31807,118913,11893,27479,-87106,150720,200018
2019-04-23 00:00:00,JAPANESE YEN ,28121,122535,-3686,3622,-94414,150656,207316
2019-04-30 00:00:00,JAPANESE YEN ,20578,120177,-7543,-2358,-99599,140755,203323
2019-03-05 00:00:00,JAPANESE YEN ,33421,84727,6056,17708,-51306,118148,207083
2019-03-12 00:00:00,JAPANESE YEN ,22144,80925,-11277,-3802,-58781,103069,196766
2019-03-19 00:00:00,JAPANESE YEN ,20081,79302,-2063,-1623,-59221,99383,158074
2019-03-26 00:00:00,JAPANESE YEN ,18323,80444,-1758,1142,-62121,98767,157145
2019-02-05 00:00:00,JAPANESE YEN ,20752,52162,-6249,-8184,-31410,72914,192789
2019-02-12 00:00:00,JAPANESE YEN ,24541,55283,3789,3121,-30742,79824,185725
2019-02-19 00:00:00,JAPANESE YEN ,24844,62305,303,7022,-37461,87149,184023
2019-02-26 00:00:00,JAPANESE YEN ,27365,67019,2521,4714,-39654,94384,186158
2019-01-08 00:00:00,JAPANESE YEN ,42727,104041,10015,-17294,-61314,146768,230524
