Date,Symbol,Release,Long,Short,Change Long,Change Short,Net positions,Total positions,Open interest,Percentile,Step,Adj OI,Percentile Adj OI,Rates dA,DNN,MLR,MLP
2014-04-01,BRITISH POUND STERLING ,2014-04-08,75969,42397,9218,5370,33572,118366,211437,89.14081145584726,1.0,0.15878015673699494,82.81622911694511,1.6808,1.441599726676941,1.518310546875,1.8099528102229025e+19
2014-04-08,BRITISH POUND STERLING ,2014-04-15,91642,45165,15673,2768,46477,136807,226667,94.03341288782816,1.0,0.2050452866981078,86.15751789976133,1.68679,1.6370487213134766,1.5009765625,3.1900065470973284e+19
2014-04-15,BRITISH POUND STERLING ,2014-04-22,87472,36874,-4170,-8291,50598,124346,226688,94.86873508353221,1.0,0.22320546301524563,87.82816229116945,1.68677,1.6307969093322754,1.521728515625,7.834533350071375e+19
2014-04-22,BRITISH POUND STERLING ,2014-04-29,89692,41892,2220,5018,47800,131584,237055,94.39140811455847,1.0,0.201640969395288,85.79952267303102,1.68139,1.6473712921142578,1.5096435546875,4.896546467457737e+19
2014-04-29,BRITISH POUND STERLING ,2014-05-06,85913,41679,-3779,-213,44234,127592,236030,93.43675417661098,1.0,0.18740838029064102,84.96420047732697,1.6840199999999999,1.677067756652832,1.4971923828125,5.65802087650519e+19
2014-03-04,BRITISH POUND STERLING ,2014-03-11,71021,41416,-3537,-4340,29605,112437,254013,86.87350835322195,1.0,0.11654915299610649,77.68496420047732,1.6663000000000001,1.6376878023147583,1.442626953125,4.16057730448884e+19
2014-03-11,BRITISH POUND STERLING ,2014-03-18,64553,42554,-6468,1138,21999,107107,250867,81.02625298329356,1.0,0.08769188454440002,75.41766109785203,1.6608399999999999,1.6270815134048462,1.4427490234375,2.6869597416159793e+19
2014-03-18,BRITISH POUND STERLING ,2014-03-25,64141,38605,-412,-3949,25536,102746,208961,83.89021479713604,1.0,0.12220462191509421,78.40095465393794,1.67238,1.5342170000076294,1.51416015625,2.7179869899685892e+19
2014-03-25,BRITISH POUND STERLING ,2014-04-01,66751,37027,2610,-1578,29724,103778,202115,87.0525059665871,1.0,0.14706478984736412,81.26491646778042,1.6793,1.5567940473556519,1.5362548828125,2.7247714794052366e+19
2014-02-04,BRITISH POUND STERLING ,2014-02-11,52098,41147,-11261,-40,10951,93245,202690,72.91169451073986,1.0,0.054028319107997436,70.52505966587113,1.6663299999999999,1.3783537149429321,1.5211181640625,1.2391316738048756e+19
2014-02-11,BRITISH POUND STERLING ,2014-02-18,53199,42527,1101,1380,10672,95726,204982,72.67303102625299,1.0,0.052063107980212894,70.28639618138425,1.66448,1.5657743215560913,1.5047607421875,4.652411109488395e+18
2014-02-18,BRITISH POUND STERLING ,2014-02-25,76271,53948,23072,11421,22323,130219,241471,81.74224343675418,1.0,0.09244588377072195,75.53699284009546,1.66351,1.6624003648757935,1.4285888671875,-1.2467032377532924e+19
2014-02-25,BRITISH POUND STERLING ,2014-03-04,74558,45756,-1713,-8192,28802,120314,257037,86.27684964200478,1.0,0.1120539066360096,77.32696897374701,1.64961,1.6420315504074097,1.414794921875,4.238614024333124e+19
2014-01-07,BRITISH POUND STERLING ,2014-01-14,54679,36501,-7405,-2802,18178,91180,194668,78.16229116945108,1.0,0.09337949740070274,75.89498806682577,1.63083,1.4704402685165405,1.53466796875,2.0604541529841443e+19
2014-01-14,BRITISH POUND STERLING ,2014-01-21,54352,43192,-327,6691,11160,97544,201372,73.3890214797136,1.0,0.055419820034562896,70.88305489260144,1.64045,1.573922038078308,1.520751953125,1.3520795191274606e+18
2014-01-21,BRITISH POUND STERLING ,2014-01-28,56573,47853,2221,4661,8720,104426,208112,71.00238663484487,1.0,0.041900515107249944,69.33174224343675,1.67133,1.603162169456482,1.4892578125,-2.1142393537583606e+18
2014-01-28,BRITISH POUND STERLING ,2014-02-04,63359,41187,6786,-6666,22172,104546,218738,81.38424821002387,1.0,0.10136327478535966,76.25298329355608,1.66557,1.6361714601516724,1.4732666015625,2.126999461295351e+19
2013-12-03,BRITISH POUND STERLING ,2013-12-10,73962,55593,16993,-985,18369,129555,239371,78.28162291169451,1.0,0.07673861913097242,73.9856801909308,1.6493,1.5987533330917358,1.4002685546875,1.98347740319788e+17
2013-12-10,BRITISH POUND STERLING ,2013-12-17,71015,52586,-2947,-3007,18429,123601,255604,78.52028639618139,1.0,0.07209981064459085,73.50835322195704,1.6414499999999999,1.4325098991394043,1.397705078125,2.0598912732223853e+19
2013-12-17,BRITISH POUND STERLING ,2013-12-24,62285,44460,-8730,-8126,17825,106745,191648,77.80429594272077,1.0,0.09300905827350142,75.6563245823389,1.6381700000000001,1.274743676185608,1.5115966796875,2.2835274256972497e+19
2013-12-24,BRITISH POUND STERLING ,2013-12-31,62593,48173,308,3713,14420,110766,198063,76.13365155131265,1.0,0.0728051175636035,73.62768496420048,1.6427800000000001,1.3767670392990112,1.5040283203125,2.872801878004097e+18
2013-11-05,BRITISH POUND STERLING ,2013-11-12,51186,53578,-6605,5949,-2392,104764,172368,60.143198090692124,-1.0,-0.013877285807110368,60.97852028639618,1.635,1.5115045309066772,1.5162353515625,-1.2403992053842618e+19
2013-11-12,BRITISH POUND STERLING ,2013-11-19,43888,53191,-7298,-387,-9303,97079,171002,52.02863961813843,-1.0,-0.054402872481023615,55.369928400954656,1.64223,1.5876376628875732,1.50146484375,-1.2396255806608382e+19
2013-11-19,BRITISH POUND STERLING ,2013-11-26,53766,55431,9878,2240,-1665,109197,183449,61.33651551312649,-1.0,-0.009076091992869953,61.45584725536993,1.6297000000000001,1.6720504760742188,1.474365234375,-1.7126579227310289e+19
2013-11-26,BRITISH POUND STERLING ,2013-12-03,56969,56578,3203,1147,391,113547,214443,63.24582338902148,1.0,0.0018233283436624185,63.0071599045346,1.63464,1.5714143514633179,1.45654296875,-1.0695092667324256e+19
2013-10-01,BRITISH POUND STERLING ,2013-10-08,47329,45833,-3407,-3729,1496,93162,172422,64.79713603818615,1.0,0.00867638700397861,64.55847255369929,1.61364,1.5037306547164917,1.5323486328125,-1.5189430200730447e+18
2013-10-08,BRITISH POUND STERLING ,2013-10-15,58681,49910,11352,4077,8771,108591,184643,71.1217183770883,1.0,0.04750247775436924,69.68973747016706,1.59636,1.4942792654037476,1.5120849609375,-1.0194730146194467e+19
2013-10-15,BRITISH POUND STERLING ,2013-10-22,60100,47869,1419,-2041,12231,107969,183979,74.3436754176611,1.0,0.06648041352545671,73.26968973747017,1.59867,1.5317703485488892,1.5059814453125,3.551356752387471e+18
2013-10-22,BRITISH POUND STERLING ,2013-10-29,59437,45175,-663,-2694,14262,104612,181489,75.89498806682577,1.0,0.07858327501942267,74.22434367541766,1.61091,1.4875335693359375,1.5238037109375,8.094431614629968e+18
2013-10-29,BRITISH POUND STERLING ,2013-11-05,57791,47629,-1646,2454,10162,105420,177427,72.0763723150358,1.0,0.0572742592728277,71.1217183770883,1.61623,1.407736897468567,1.53662109375,-4.286028466603157e+17
2013-09-03,BRITISH POUND STERLING ,2013-09-10,27943,70989,-2061,2759,-43046,98932,156870,19.331742243436754,-1.0,-0.2744055587429081,19.809069212410503,1.61837,1.5599254369735718,1.514404296875,-3.1578230471772885e+19
2013-09-10,BRITISH POUND STERLING ,2013-09-17,32921,71087,4978,98,-38166,104008,185433,22.911694510739856,-1.0,-0.2058209703774409,28.758949880668258,1.60884,1.5718814134597778,1.4716796875,-3.3120025718454768e+19
2013-09-17,BRITISH POUND STERLING ,2013-09-24,44124,50434,11203,-20653,-6310,94558,141735,56.085918854415276,-1.0,-0.044519702261262215,57.04057279236277,1.59801,1.574806809425354,1.484619140625,-7.261702650740172e+18
2013-09-24,BRITISH POUND STERLING ,2013-10-01,50736,49562,6612,-872,1174,100298,163719,64.02147971360382,1.0,0.007170823178739181,64.20047732696898,1.61429,1.4696815013885498,1.5330810546875,-1.0093146092870152e+19
2013-08-06,BRITISH POUND STERLING ,2013-08-13,22097,68130,1942,-1488,-46033,90227,145387,17.899761336515514,-1.0,-0.3166239072269185,13.484486873508354,1.55461,1.5846668481826782,1.5262451171875,-2.7190314109224595e+19
2013-08-13,BRITISH POUND STERLING ,2013-08-20,22209,68730,112,600,-46521,90939,145126,17.422434367541765,-1.0,-0.3205559307084878,12.88782816229117,1.56935,1.5646003484725952,1.53173828125,-2.7632265582674248e+19
2013-08-20,BRITISH POUND STERLING ,2013-08-27,26947,66469,4738,-2261,-39522,93416,138505,21.121718377088307,-1.0,-0.28534709938269376,18.4964200477327,1.58965,1.5845481157302856,1.5269775390625,-2.7140566807470154e+19
2013-08-27,BRITISH POUND STERLING ,2013-09-03,30004,68230,3057,1761,-38226,98234,149328,22.79236276849642,-1.0,-0.2559868209578913,21.718377088305488,1.60408,1.5695202350616455,1.5301513671875,-2.9673981540773265e+19
2013-07-02,BRITISH POUND STERLING ,2013-07-09,32562,63886,-1857,10038,-31324,96448,131817,31.14558472553699,-1.0,-0.23763247532564086,24.821002386634845,1.5340799999999999,1.5588632822036743,1.5849609375,-2.7852962777292976e+19
2013-07-09,BRITISH POUND STERLING ,2013-07-16,31311,65570,-1251,1684,-34259,96881,145033,27.088305489260144,-1.0,-0.2362152061944523,24.94033412887828,1.53542,1.6048890352249146,1.543701171875,-2.798895189217182e+19
2013-07-16,BRITISH POUND STERLING ,2013-07-23,24634,62080,-6677,-3490,-37446,86714,151127,23.50835322195704,-1.0,-0.24777835859905906,22.79236276849642,1.5461200000000002,1.5722612142562866,1.5413818359375,-2.500032574934857e+19
2013-07-23,BRITISH POUND STERLING ,2013-07-30,19135,68788,-5499,6708,-49653,87923,148065,14.916467780429594,-1.0,-0.3353459629216898,10.739856801909308,1.56467,1.5672465562820435,1.5474853515625,-2.6774877977304994e+19
2013-06-04,BRITISH POUND STERLING ,2013-06-11,26666,104404,-9555,-6342,-77738,131070,210499,4.534606205250597,-1.0,-0.3693034171183711,7.5178997613365155,1.52163,1.5301109552383423,1.359375,-6.37505270269519e+19
2013-06-11,BRITISH POUND STERLING ,2013-06-18,32755,86442,6089,-17962,-53687,119197,219176,13.24582338902148,-1.0,-0.2449492645180129,23.747016706443915,1.49484,1.416265845298767,1.3485107421875,-4.7498310646347645e+19
2013-06-18,BRITISH POUND STERLING ,2013-06-25,47377,67783,14622,-18659,-20406,115160,140550,41.766109785202865,-1.0,-0.14518676627534685,40.09546539379475,1.5099900000000002,1.6342209577560425,1.4671630859375,-2.631700372968278e+19
2013-06-25,BRITISH POUND STERLING ,2013-07-02,34419,53848,-12958,-13935,-19429,88267,123602,42.60143198090692,-1.0,-0.15719001310658404,37.35083532219571,1.53563,1.6808725595474243,1.57080078125,-1.372425489963951e+19
2013-05-07,BRITISH POUND STERLING ,2013-05-14,31542,94628,464,4943,-63086,126170,190781,9.665871121718377,-1.0,-0.330672341585378,11.097852028639618,1.53179,1.5399192571640015,1.4324951171875,-5.167969351273286e+19
2013-05-14,BRITISH POUND STERLING ,2013-05-21,36975,102330,5433,7702,-65355,139305,198068,8.591885441527447,-1.0,-0.32996243714279944,11.455847255369928,1.55715,1.5138076543807983,1.4046630859375,-6.068499641431952e+19
2013-05-21,BRITISH POUND STERLING ,2013-05-28,33380,110356,-3595,8026,-76976,143736,211098,4.892601431980907,-1.0,-0.36464580431837346,7.995226730310263,1.57172,1.4731347560882568,1.3719482421875,-6.743580388997722e+19
2013-05-28,BRITISH POUND STERLING ,2013-06-04,36221,110746,2841,390,-74525,146967,221612,5.608591885441528,-1.0,-0.33628594119452015,10.501193317422434,1.54359,1.3598767518997192,1.347412109375,-7.0434674542267556e+19
2013-04-02,BRITISH POUND STERLING ,2013-04-09,31815,96835,-6369,-7904,-65020,128650,208425,8.83054892601432,-1.0,-0.3119587381552117,13.9618138424821,1.54932,1.4093095064163208,1.3822021484375,-5.792754054404082e+19
